# episode, # turns, reward
646.0, 5.0, 0.84
647.0, 3.0, -0.12
648.0, 6.0, -0.24000000000000002
649.0, 9.0, -0.36
650.0, 2.0, -0.08
651.0, 7.0, -0.28
652.0, 3.0, -0.12
653.0, 4.0, -0.16
654.0, 4.0, -0.16
655.0, 4.0, -0.16
656.0, 8.0, 0.72
657.0, 11.0, -0.43999999999999995
658.0, 10.0, -0.39999999999999997
659.0, 6.0, -0.24000000000000002
660.0, 9.0, -0.36
661.0, 15.0, -0.6
662.0, 12.0, -0.4799999999999999
663.0, 8.0, -0.32
664.0, 2.0, -0.08
665.0, 6.0, -0.24000000000000002
666.0, 8.0, -0.32
667.0, 6.0, 0.8
668.0, 17.0, -0.68
669.0, 3.0, -0.12
670.0, 6.0, -0.24000000000000002
671.0, 9.0, -0.36
672.0, 8.0, -0.32
673.0, 17.0, -0.68
674.0, 4.0, -0.16
675.0, 12.0, -0.4799999999999999
676.0, 6.0, -0.24000000000000002
677.0, 9.0, -0.36
678.0, 7.0, -0.28
679.0, 4.0, 0.88
680.0, 4.0, -0.16
681.0, 10.0, -0.39999999999999997
682.0, 13.0, -0.5199999999999999
683.0, 3.0, -0.12
684.0, 6.0, -0.24000000000000002
685.0, 8.0, 0.72
686.0, 5.0, 0.84
687.0, 23.0, -0.9200000000000003
688.0, 4.0, -0.16
689.0, 6.0, -0.24000000000000002
690.0, 2.0, -0.08
691.0, 6.0, -0.24000000000000002
692.0, 6.0, -0.24000000000000002
693.0, 4.0, -0.16
694.0, 5.0, -0.2
695.0, 7.0, 0.76
696.0, 10.0, 0.64
697.0, 4.0, -0.16
698.0, 3.0, -0.12
699.0, 5.0, -0.2
700.0, 5.0, 0.84
701.0, 10.0, -0.39999999999999997
702.0, 9.0, 0.6799999999999999
703.0, 3.0, 0.92
704.0, 3.0, -0.12
705.0, 3.0, -0.12
706.0, 5.0, -0.2
707.0, 3.0, -0.12
708.0, 6.0, -0.24000000000000002
709.0, 8.0, -0.32
710.0, 13.0, 0.52
711.0, 5.0, -0.2
712.0, 3.0, -0.12
713.0, 11.0, -0.43999999999999995
714.0, 5.0, -0.2
715.0, 2.0, -0.08
716.0, 10.0, -0.39999999999999997
717.0, 6.0, -0.24000000000000002
718.0, 13.0, -0.5199999999999999
719.0, 4.0, 0.88
720.0, 3.0, -0.12
721.0, 9.0, -0.36
722.0, 9.0, -0.36
723.0, 5.0, -0.2
724.0, 3.0, -0.12
725.0, 8.0, 0.72
726.0, 7.0, 0.76
727.0, 13.0, -0.5199999999999999
728.0, 4.0, -0.16
729.0, 7.0, -0.28
730.0, 11.0, -0.43999999999999995
731.0, 15.0, -0.6
732.0, 4.0, -0.16
733.0, 8.0, 0.72
734.0, 5.0, -0.2
735.0, 5.0, -0.2
736.0, 11.0, -0.43999999999999995
737.0, 15.0, -0.6
738.0, 16.0, 0.4
739.0, 4.0, -0.16
740.0, 12.0, 0.56
741.0, 20.0, 0.23999999999999988
742.0, 6.0, 0.8
743.0, 5.0, -0.2
744.0, 9.0, -0.36
745.0, 6.0, -0.24000000000000002
746.0, 4.0, -0.16
747.0, 11.0, -0.43999999999999995
748.0, 14.0, -0.5599999999999999
749.0, 6.0, -0.24000000000000002
750.0, 11.0, -0.43999999999999995
751.0, 5.0, -0.2
752.0, 8.0, -0.32
753.0, 3.0, -0.12
754.0, 8.0, -0.32
755.0, 6.0, -0.24000000000000002
756.0, 14.0, -0.5599999999999999
757.0, 6.0, -0.24000000000000002
758.0, 4.0, -0.16
759.0, 8.0, -0.32
760.0, 12.0, -0.4799999999999999
761.0, 6.0, -0.24000000000000002
762.0, 6.0, -0.24000000000000002
763.0, 3.0, -0.12
764.0, 9.0, -0.36
765.0, 7.0, -0.28
766.0, 7.0, -0.28
767.0, 4.0, 0.88
768.0, 6.0, -0.24000000000000002
769.0, 7.0, -0.28
770.0, 6.0, -0.24000000000000002
771.0, 5.0, -0.2
772.0, 4.0, 0.88
773.0, 4.0, -0.16
774.0, 3.0, 0.92
775.0, 5.0, -0.2
776.0, 17.0, -0.68
777.0, 8.0, -0.32
778.0, 4.0, -0.16
779.0, 19.0, -0.7600000000000001
780.0, 4.0, -0.16
781.0, 5.0, -0.2
782.0, 6.0, -0.24000000000000002
783.0, 4.0, 0.88
784.0, 14.0, -0.5599999999999999
785.0, 19.0, 0.2799999999999999
786.0, 13.0, -0.5199999999999999
787.0, 5.0, -0.2
788.0, 9.0, -0.36
789.0, 17.0, 0.36
790.0, 5.0, -0.2
791.0, 3.0, -0.12
792.0, 12.0, 0.56
793.0, 3.0, -0.12
794.0, 5.0, -0.2
795.0, 5.0, -0.2
796.0, 3.0, -0.12
797.0, 7.0, -0.28
798.0, 3.0, -0.12
799.0, 6.0, -0.24000000000000002
800.0, 4.0, -0.16
801.0, 3.0, 0.92
802.0, 3.0, 0.92
803.0, 7.0, -0.28
804.0, 8.0, 0.72
805.0, 3.0, -0.12
806.0, 10.0, -0.39999999999999997
807.0, 11.0, -0.43999999999999995
808.0, 6.0, -0.24000000000000002
809.0, 14.0, -0.5599999999999999
810.0, 2.0, -0.08
811.0, 4.0, -0.16
812.0, 8.0, -0.32
813.0, 10.0, -0.39999999999999997
814.0, 18.0, -0.7200000000000001
815.0, 13.0, -0.5199999999999999
816.0, 4.0, 0.88
817.0, 4.0, -0.16
818.0, 5.0, -0.2
819.0, 3.0, -0.12
820.0, 7.0, 0.76
821.0, 3.0, -0.12
822.0, 8.0, -0.32
823.0, 4.0, 0.88
824.0, 15.0, -0.6
825.0, 2.0, -0.08
826.0, 5.0, 0.84
827.0, 7.0, -0.28
828.0, 5.0, -0.2
829.0, 7.0, -0.28
830.0, 3.0, -0.12
831.0, 12.0, -0.4799999999999999
832.0, 11.0, -0.43999999999999995
833.0, 6.0, -0.24000000000000002
834.0, 6.0, 0.8
835.0, 9.0, -0.36
836.0, 4.0, 0.88
837.0, 6.0, 0.8
838.0, 7.0, -0.28
839.0, 8.0, -0.32
840.0, 7.0, 0.76
841.0, 5.0, -0.2
842.0, 3.0, -0.12
843.0, 5.0, -0.2
844.0, 12.0, -0.4799999999999999
845.0, 5.0, -0.2
846.0, 9.0, -0.36
847.0, 5.0, -0.2
848.0, 7.0, -0.28
849.0, 3.0, -0.12
850.0, 4.0, 0.88
851.0, 3.0, -0.12
852.0, 7.0, -0.28
853.0, 8.0, -0.32
854.0, 12.0, -0.4799999999999999
855.0, 10.0, -0.39999999999999997
856.0, 4.0, 0.88
857.0, 2.0, -0.08
858.0, 4.0, 0.88
859.0, 6.0, -0.24000000000000002
860.0, 8.0, -0.32
861.0, 3.0, 0.92
862.0, 3.0, -0.12
863.0, 2.0, -0.08
864.0, 6.0, 0.8
865.0, 5.0, 0.84
866.0, 3.0, -0.12
867.0, 6.0, 0.8
868.0, 4.0, -0.16
869.0, 21.0, -0.8400000000000002
870.0, 9.0, -0.36
871.0, 7.0, -0.28
872.0, 3.0, 0.92
873.0, 4.0, -0.16
874.0, 6.0, 0.8
875.0, 5.0, -0.2
876.0, 7.0, -0.28
877.0, 7.0, 0.76
878.0, 16.0, -0.64
879.0, 3.0, -0.12
880.0, 13.0, -0.5199999999999999
881.0, 5.0, -0.2
882.0, 4.0, 0.88
883.0, 12.0, -0.4799999999999999
884.0, 3.0, -0.12
885.0, 12.0, -0.4799999999999999
886.0, 5.0, -0.2
887.0, 10.0, -0.39999999999999997
888.0, 3.0, -0.12
889.0, 7.0, -0.28
890.0, 3.0, -0.12
891.0, 6.0, -0.24000000000000002
892.0, 3.0, -0.12
893.0, 17.0, -0.68
894.0, 5.0, -0.2
895.0, 7.0, -0.28
