# episode, exploration_rate, rewards_current_episode, step, winner
208, 0.8140849663448195, 98, 2, AI
209, 0.8132812832869774, -57, 8, Opponent
210, 0.8124784035104852, 94, 6, AI
211, 0.8116763262124636, -53, 3, Opponent
212, 0.8108750505908348, 94, 6, AI
213, 0.8100745758443235, 96, 4, AI
214, 0.8092749011724547, 98, 2, AI
215, 0.8084760257755536, 95, 5, AI
216, 0.8076779488547449, 97, 3, AI
217, 0.8068806696119515, -102, 4, Opponent
218, 0.8060841872498941, -53, 3, Opponent
219, 0.8052885009720903, 97, 3, AI
220, 0.8044936099828537, -103, 5, Opponent
221, 0.8036995134872933, 94, 6, AI
222, 0.8029062106913125, 97, 3, AI
223, 0.8021137008016086, 92, 8, AI
224, 0.8013219830256715, -61, 11, Opponent
225, 0.8005310565717833, 96, 4, AI
226, 0.7997409206490175, 147, 4, AI
227, 0.7989515744672382, -105, 6, Opponent
228, 0.7981630172370993, -70, 21, Opponent
229, 0.797375248170043, 93, 7, AI
230, 0.7965882664783007, -53, 3, Opponent
231, 0.7958020713748902, -56, 8, Opponent
232, 0.7950166620736169, -162, 14, Opponent
233, 0.7942320377890709, 97, 3, AI
234, 0.793448197736628, 95, 5, AI
235, 0.7926651411324482, -104, 5, Opponent
236, 0.7918828671934747, 95, 5, AI
237, 0.7911013751374335, 146, 5, AI
238, 0.7903206641828326, 95, 5, AI
239, 0.789540733548961, -53, 4, Opponent
240, 0.7887615824558879, -53, 3, Opponent
241, 0.787983210124462, 94, 6, AI
242, 0.7872056157763112, -14, 16, AI
243, 0.7864287986338409, 40, 11, AI
244, 0.7856527579202339, -55, 5, Opponent
245, 0.7848774928594494, 90, 10, AI
246, 0.7841030026762225, -107, 8, Opponent
247, 0.7833292865960627, 97, 3, AI
248, 0.782556343845254, 147, 4, AI
249, 0.7817841736508534, 143, 8, AI
250, 0.7810127752406908, 284, 20, AI
251, 0.7802421478433677, 147, 4, AI
252, 0.7794722906882566, -55, 5, Opponent
253, 0.7787032030055004, 195, 7, AI
254, 0.7779348840260113, 94, 6, AI
255, 0.7771673329814701, 93, 7, AI
256, 0.7764005491043259, -51, 2, Opponent
257, 0.7756345316277946, 97, 3, AI
258, 0.7748692797858587, -56, 6, Opponent
259, 0.7741047928132664, -52, 3, Opponent
260, 0.7733410699455306, -157, 10, Opponent
261, 0.7725781104189283, -160, 13, Opponent
262, 0.7718159134705, 96, 4, AI
263, 0.7710544783380486, 94, 6, AI
264, 0.770293804260139, 97, 3, AI
265, 0.7695338904760971, 147, 4, AI
266, 0.768774736226009, 40, 11, AI
267, 0.7680163407507201, 98, 2, AI
268, 0.7672587032918353, 94, 6, AI
269, 0.766501823091717, 93, 7, AI
270, 0.7657456993934846, 147, 4, AI
271, 0.7649903314410147, 92, 8, AI
272, 0.7642357184789392, 143, 8, AI
273, 0.7634818597526449, 90, 10, AI
274, 0.7627287545082733, 93, 7, AI
275, 0.7619764019927188, -56, 6, Opponent
276, 0.7612248014536289, 97, 3, AI
277, 0.7604739521394033, 95, 5, AI
278, 0.7597238532991921, 97, 3, AI
279, 0.7589745041828969, 147, 4, AI
280, 0.7582259040411682, -52, 3, Opponent
281, 0.7574780521254059, 44, 7, AI
282, 0.7567309476877581, -8, 10, AI
283, 0.7559845899811201, 93, 7, AI
284, 0.7552389782591343, 95, 5, AI
285, 0.7544941117761887, -105, 7, Opponent
286, 0.7537499897874171, 87, 13, AI
287, 0.7530066115486973, -105, 7, Opponent
288, 0.7522639763166509, 91, 9, AI
289, 0.7515220833486427, 96, 4, AI
290, 0.7507809319027796, 97, 3, AI
291, 0.7500405212379101, -57, 7, Opponent
292, 0.7493008506136236, 97, 3, AI
293, 0.7485619192902493, -57, 7, Opponent
294, 0.7478237265288558, -106, 8, Opponent
295, 0.7470862715912503, 86, 14, AI
296, 0.7463495537399778, 92, 8, AI
297, 0.7456135722383205, -107, 9, Opponent
298, 0.7448783263502966, 95, 5, AI
299, 0.7441438153406604, -59, 9, Opponent
300, 0.7434100384749007, 147, 4, AI
301, 0.7426769950192406, 97, 3, AI
302, 0.7419446842406366, 95, 5, AI
303, 0.7412131054067778, 96, 4, AI
304, 0.7404822577860852, 94, 6, AI
305, 0.7397521406477116, 96, 4, AI
306, 0.7390227532615391, 146, 5, AI
307, 0.7382940948981808, 147, 4, AI
308, 0.7375661648289781, -55, 5, Opponent
309, 0.7368389623260008, -104, 5, Opponent
310, 0.7361124866620463, -53, 3, Opponent
311, 0.7353867371106392, -57, 7, Opponent
312, 0.7346617129460296, 35, 16, AI
313, 0.7339374134431932, 147, 4, AI
314, 0.7332138378778307, 96, 4, AI
315, 0.7324909855263663, -54, 4, Opponent
316, 0.7317688556659475, 96, 4, AI
317, 0.7310474475744446, 147, 4, AI
318, 0.7303267605304495, 195, 7, AI
319, 0.7296067938132749, -105, 7, Opponent
320, 0.7288875467029541, -52, 3, Opponent
321, 0.7281690184802397, 133, 20, AI
322, 0.7274512084266038, 147, 4, AI
323, 0.7267341158242361, 146, 5, AI
324, 0.7260177399560439, -60, 10, Opponent
325, 0.7253020801056514, -53, 4, Opponent
326, 0.7245871355573987, 98, 2, AI
327, 0.723872905596341, 98, 2, AI
328, 0.7231593895082483, 97, 3, AI
329, 0.7224465865796047, 97, 3, AI
330, 0.7217344960976069, -105, 7, Opponent
331, 0.7210231173501646, 142, 9, AI
332, 0.7203124496258988, -108, 10, Opponent
333, 0.719602492214142, 147, 4, AI
334, 0.7188932444049364, -53, 4, Opponent
335, 0.7181847054890343, 98, 2, AI
336, 0.7174768747578967, 97, 3, AI
337, 0.7167697515036928, 96, 4, AI
338, 0.7160633350192994, -52, 3, Opponent
339, 0.7153576245982999, 93, 7, AI
340, 0.7146526195349836, 89, 11, AI
341, 0.7139483191243456, 143, 8, AI
342, 0.7132447226620855, -106, 7, Opponent
343, 0.7125418294446066, 83, 17, AI
344, 0.7118396387690156, 38, 13, AI
345, 0.711138149933122, 97, 3, AI
346, 0.7104373622354367, 32, 19, AI
347, 0.7097372749751719, -108, 10, Opponent
